id,question,subcategory,expected_route,actual_route,status_code,latency_ms,evaluable,route_correct,operational_success,answer_present,crm_fact_recall,requirement_recall,document_source_count,crm_source_count,expected_document_source_present,retrieval_expected_file_precision,citation_expected_document_present,citation_expected_file_precision,citation_returned_source_link_precision,citation_claim_coverage_proxy,claim_support_rate,groundedness_score,groundedness_pass,unsafe_final_decision_language,denied_no_data_access,denied_safe_response,overall_pass,errors,missing_requirements,missing_crm_facts
route-crm-001,What annual premium is recorded for policy TEST-KFZ-2026-1001?,policy_premium,crm_only,crm_only,200,468.9938,True,True,True,True,1.0,,0,1,,,,,,,,1.0,True,False,,,True,,,
route-crm-002,What deductible is stored for policy TEST-KFZ-2026-1101?,policy_deductible,crm_only,crm_only,200,335.7714,True,True,True,True,1.0,,0,1,,,,,,,,1.0,True,False,,,True,,,
route-crm-003,What is the status of policy TEST-RS-2026-1202?,policy_status,crm_only,crm_only,200,233.7365,True,True,True,True,1.0,,0,1,,,,,,,,1.0,True,False,,,True,,,
route-crm-004,Show the coverage type recorded for policy TEST-KFZ-2026-1401.,coverage_type,crm_only,crm_only,200,331.8421,True,True,True,True,1.0,,0,1,,,,,,,,1.0,True,False,,,True,,,
route-crm-005,Which active policies does Lara Neumann have?,customer_policies,crm_only,crm_only,200,810.3136,True,True,True,True,1.0,,0,4,,,,,,,,0.988522,True,False,,,True,,,
route-crm-006,What email address is recorded for Oliver Brandt?,contact_email,crm_only,crm_only,200,356.5999,True,True,True,True,1.0,,0,1,,,,,,,,1.0,True,False,,,True,,,
route-crm-007,Show the claim status for TEST-CLM-2026-2001.,claim_status,crm_only,crm_only,200,601.6657,True,True,True,True,1.0,,0,1,,,,,,,,1.0,True,False,,,True,,,
route-crm-008,What damage type is recorded for claim TEST-CLM-2026-2101?,claim_damage_type,crm_only,crm_only,200,543.7513,True,True,True,True,1.0,,0,1,,,,,,,,1.0,True,False,,,True,,,
route-crm-009,What claimed amount is stored for claim TEST-CLM-2026-2201?,claim_amount,crm_only,crm_only,200,568.1996,True,True,True,True,1.0,,0,1,,,,,,,,1.0,True,False,,,True,,,
route-crm-010,Which policy number is linked to claim TEST-CLM-2026-2301?,claim_policy_link,crm_only,crm_only,200,718.5253,True,True,True,True,1.0,,0,1,,,,,,,,1.0,True,False,,,True,,,
route-crm-011,What product type is recorded for policy TEST-PHV-2026-1601?,policy_product_type,crm_only,crm_only,200,551.3073,True,True,True,True,1.0,,0,1,,,,,,,,1.0,True,False,,,True,,,
route-crm-012,What is the end date of policy TEST-PHV-2025-1301?,policy_end_date,crm_only,crm_only,200,404.3402,True,True,True,True,1.0,,0,1,,,,,,,,1.0,True,False,,,True,,,
route-crm-013,List Noah Weber's current policies.,customer_policies,crm_only,crm_only,200,540.1808,True,True,True,True,1.0,,0,3,,,,,,,,0.991937,True,False,,,True,,,
route-crm-014,What is the current status of Jonas Richter's legal protection policy?,named_policy_status,crm_only,crm_only,200,447.6035,True,True,True,True,1.0,,0,2,,,,,,,,0.9928,True,False,,,True,,,
route-crm-015,Which claims are recorded for Leon Becker?,customer_claims,crm_only,crm_only,200,743.5953,True,True,True,True,1.0,,0,3,,,,,,,,0.990914,True,False,,,True,,,
route-crm-016,What is the claim date for TEST-CLM-2026-2501?,claim_date,crm_only,crm_only,200,892.3039,True,True,True,True,1.0,,0,1,,,,,,,,1.0,True,False,,,True,,,
route-crm-017,What currency is used for the annual premium of policy TEST-HH-2026-1801?,policy_currency,crm_only,crm_only,200,743.1813,True,True,True,True,1.0,,0,1,,,,,,,,1.0,True,False,,,True,,,
route-crm-018,Show Sophie Keller's policy numbers and their statuses.,customer_policy_summary,crm_only,crm_only,200,739.3893,True,True,True,True,1.0,,0,3,,,,,,,,0.991,True,False,,,True,,,
route-crm-019,Which customer email is associated with policy TEST-KFZ-2026-1901?,policy_customer_link,crm_only,crm_only,200,546.6044,True,True,True,True,1.0,,0,2,,,,,,,,0.991875,True,False,,,True,,,
route-crm-020,What is the status of Amira Hoffmann's claim?,named_claim_status,crm_only,crm_only,200,484.3593,True,True,True,True,1.0,,0,2,,,,,,,,0.99325,True,False,,,True,,,
route-rag-001,What does partially comprehensive motor insurance generally cover for glass breakage?,motor_glass,retrieval_only,retrieval_only,200,12044.8927,True,True,True,True,,1.0,8,0,True,1.0,True,1.0,1.0,1.0,1.0,0.906229,True,False,,,True,,,
route-rag-002,Is theft of an insured vehicle generally covered under motor vehicle insurance?,motor_theft,retrieval_only,retrieval_only,206,16093.6123,True,True,True,True,,0.0,0,0,False,,False,,,0.0,0.0,0.642747,False,False,,,False,expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,motor_theft_cover;motor_theft_condition,
route-rag-003,"According to the motor vehicle insurance conditions, how is collision damage treated?",motor_collision,retrieval_only,retrieval_only,200,20368.1315,True,True,True,True,,0.0,0,0,False,,False,,,0.0,0.0,0.631157,False,False,,,False,expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,motor_collision_event;motor_collision_comprehensive,
route-rag-004,What exclusions apply to damage caused by wear and tear on a vehicle?,motor_exclusions,retrieval_only,retrieval_only,200,14696.0575,True,True,True,True,,1.0,8,0,True,0.5,True,1.0,1.0,1.0,1.0,0.85622,True,False,,,True,,,
route-rag-005,What information is provided in the motor vehicle insurance product sheet?,motor_product_sheet,retrieval_only,retrieval_only,200,15701.5639,True,True,True,True,,0.0,0,0,False,,False,,,0.0,0.0,0.763461,False,False,,,False,expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,motor_product_liability;motor_product_comprehensive;motor_product_assistance,
route-rag-006,What does household contents insurance cover after water damage?,household_water,retrieval_only,retrieval_only,200,12534.305,True,True,True,True,,1.0,8,0,True,1.0,True,1.0,1.0,0.6666666666666666,0.6666666666666666,0.919368,True,False,,,True,,,
route-rag-007,Are household contents covered against fire under the general conditions?,household_fire,retrieval_only,retrieval_only,200,13297.5316,True,True,True,True,,1.0,8,0,True,1.0,True,1.0,1.0,0.5,0.5,0.916667,True,False,,,True,,,
route-rag-008,What does private liability insurance generally cover?,private_liability,retrieval_only,retrieval_only,200,11923.9126,True,True,True,True,,1.0,8,0,True,1.0,True,1.0,1.0,1.0,0.875,0.928825,True,False,,,True,,,
route-rag-009,Which exclusions are described for private liability insurance?,liability_exclusions,retrieval_only,retrieval_only,200,10730.111,True,True,True,True,,1.0,8,0,True,1.0,True,1.0,1.0,1.0,1.0,0.869804,True,False,,,True,,,
route-rag-010,What benefits are described in the household contents and private liability brochure?,household_brochure,retrieval_only,retrieval_only,200,15258.7283,True,True,True,True,,1.0,8,0,False,0.0,False,0.0,1.0,1.0,1.0,0.790509,True,False,,,False,expected_document_citation_missing;expected_document_source_missing,,
route-rag-011,Under what conditions does buildings insurance cover natural hazards?,building_natural_hazards,retrieval_only,retrieval_only,200,9687.9213,True,True,True,True,,1.0,8,0,True,1.0,True,1.0,1.0,1.0,0.75,0.914463,True,False,,,True,,,
route-rag-012,What types of building damage are excluded by the insurance conditions?,building_exclusions,retrieval_only,retrieval_only,200,14076.8803,True,True,True,True,,1.0,8,0,True,1.0,True,1.0,1.0,1.0,0.42105263157894735,0.841677,True,False,,,True,,,
route-rag-013,What legal disputes are covered by legal protection insurance?,legal_protection_scope,retrieval_only,retrieval_only,200,11427.7156,True,True,True,True,,1.0,8,0,True,1.0,True,1.0,1.0,1.0,0.8181818181818182,0.919761,True,False,,,True,,,
route-rag-014,Which waiting periods or exclusions apply to legal protection cover?,legal_protection_exclusions,retrieval_only,retrieval_only,200,7596.1256,True,True,True,True,,1.0,8,0,True,1.0,True,1.0,1.0,1.0,0.8,0.861919,True,False,,,True,,,
