case_id,weak_label,weak_label_source,weak_label_confidence,weak_label_quality_reason,source_type,mutation_type,split,leakage_group_id,quality_flags,primary_source_exists,mutation_source_exists,mutation_provenance_complete,traceable_change,duplicate_group_id,canonical_case,duplicate_cluster_size,excluded_from_primary_reason,high_risk_mutation_proxy,classifier_version
ext-iqa-pass-001,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,LOCKED_HOLDOUT_CANDIDATE,lg-a489a05f62b0,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-002,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,LOCKED_HOLDOUT_CANDIDATE,lg-74314ded45d1,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-003,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,VALIDATION,lg-d1676baf7624,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-004,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,CALIBRATION,lg-46f8b30126ae,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-005,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,CALIBRATION,lg-f4013c68ca9c,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-006,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,LOCKED_HOLDOUT_CANDIDATE,lg-ced6d6171b50,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-007,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,CALIBRATION,lg-2772e43051a7,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-008,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,LOCKED_HOLDOUT_CANDIDATE,lg-997ccac81852,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-009,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,VALIDATION,lg-0d9016c6778e,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-010,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,LOCKED_HOLDOUT_CANDIDATE,lg-4894bbbcb52c,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-011,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,LOCKED_HOLDOUT_CANDIDATE,lg-e4f6d0dc5640,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-012,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,CALIBRATION,lg-158b32e48f1c,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-013,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,LOCKED_HOLDOUT_CANDIDATE,lg-e06506497dd1,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-014,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,VALIDATION,lg-e5fbc46753a2,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-015,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,VALIDATION,lg-cff2a6820ea7,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-016,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,VALIDATION,lg-893eea51aa5f,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-017,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,CALIBRATION,lg-6b9a823da657,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-018,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,VALIDATION,lg-3570ee32687e,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
