id,question,subcategory,expected_route,actual_route,status_code,latency_ms,answer,answer_present,fallback,source_count,expected_source_found,expected_page_found,reference_token_recall,citation_count,citation_link_precision,groundedness_score,groundedness_pass,claim_support_rate,supported_statement_count,statement_count,timeout_stage,operational_success,route_correct,error
pdf-rag-001,"What coverage or rule is described for ""Grounding, strike or bankruptcy of your airline or tour operator"" in assistance brochure?",assistance-brochure,retrieval_only,,504,42142.542,,False,False,0,False,False,0.0,0,,,,,0,0,,False,False,
pdf-rag-002,"How does assistance brochure address ""Cancellation cost insurance Cancellation cost insurance covers you for unforeseen""?",assistance-brochure,retrieval_only,retrieval_only,200,77470.065,I cannot include or expose personal or sensitive information in the response.,True,False,0,False,False,0.0,0,,,,0.0,0,1,,True,True,
pdf-rag-003,"What does assistance brochure say concerning ""“All-round insurance: in your leisure time, while travelling, worldwide.” Good""?",assistance-brochure,retrieval_only,,504,42018.276,,False,False,0,False,False,0.0,0,,,,,0,0,,False,False,
pdf-rag-004,"According to assistance brochure, what does it state about ""Cancellation cost insurance covers you for unforeseen events occurring before""?",assistance-brochure,retrieval_only,retrieval_only,200,33989.144,"Travel assistance includes cancellation protection for supported unforeseen events before departure [assistance-brochure.pdf, page 4].

Cancellation cost insurance covers you for unforeseen events occurring before your departure that make it impossible for you to set off on your journey. Insured events include:

- Illness, accident or death
- Loss of employment
- Breakdown/delay of public transport
- Breakdown of the vehicle or taxi you are travelling in
- Damage to your property at home
- Incidents occurring en route to or after arrival at your destination (e.g., strikes, terrorism, volcanic eruption or other natural events)
- Grounding, strike or bankruptcy of your airline or tour operator

This insurance will cover the cost if you have to cancel, abort, or extend your trip. 

Source: [assistance-brochure.pdf, page 4]",True,False,8,True,True,1.0,2,1.0,0.945,True,1.0,10,10,,True,True,
pdf-rag-005,"What coverage or rule is described for ""Under the motor vehicle Assistance policy, cover is provided in"" in assistance brochure?",assistance-brochure,retrieval_only,,504,72514.107,,False,False,0,False,False,0.0,0,,,,,0,0,,False,False,
pdf-rag-006,"How does assistance brochure address ""Assistance for persons Assistance for persons provides insurance to cover""?",assistance-brochure,retrieval_only,retrieval_only,200,1356.225,I cannot include or expose personal or sensitive information in the response.,True,False,0,False,False,0.0,0,,,,0.0,0,1,,True,True,
pdf-rag-007,"What does assistance brochure say concerning ""Assistance for persons provides insurance to cover you if anything""?",assistance-brochure,retrieval_only,,504,38852.453,,False,False,0,False,False,0.0,0,,,,,0,0,,False,False,
pdf-rag-008,"According to assistance brochure, what does it state about ""If you are unable to continue your journey due to""?",assistance-brochure,retrieval_only,retrieval_only,200,76425.944,"Travel assistance includes cancellation protection for supported unforeseen events before departure [assistance-brochure.pdf, page 4].
While travelling, supported benefits include transport, lodging, advances or unused services [assistance-brochure.pdf, page 4].

Evidence-based answer:",True,False,8,True,True,0.13333333333333333,2,1.0,0.8235,True,1.0,2,2,,True,True,
pdf-rag-009,"What coverage or rule is described for ""Cover for e-bikes and motorcycles is valid in Switzerland and"" in assistance brochure?",assistance-brochure,retrieval_only,retrieval_only,200,36857.032,"Travel assistance includes cancellation protection for supported unforeseen events before departure [assistance-brochure.pdf, page 4].
While travelling, supported benefits include transport, lodging, advances or unused services [assistance-brochure.pdf, page 4].

Cover for e-bikes and motorcycles is valid in Switzerland and the Principality of Liechtenstein, as well as in neighboring countries within a distance of 150 km (as the crow flies) of the common border. 

Source: [assistance-brochure.pdf, page 6]",True,False,8,True,True,0.9629629629629629,3,1.0,0.848525,True,1.0,4,4,,True,True,
pdf-rag-010,"How does assistance brochure address ""Motor vehicle Assistance If you travel by car or motorbike""?",assistance-brochure,retrieval_only,retrieval_only,200,1675.396,I cannot include or expose personal or sensitive information in the response.,True,False,0,False,False,0.05,0,,,,0.0,0,1,,True,True,
