id,question,subcategory,expected_route,actual_route,status_code,latency_ms,evaluable,route_correct,operational_success,answer_present,crm_fact_recall,requirement_recall,document_source_count,crm_source_count,expected_document_source_present,retrieval_expected_file_precision,citation_expected_document_present,citation_expected_file_precision,citation_returned_source_link_precision,citation_claim_coverage_proxy,claim_support_rate,groundedness_score,groundedness_pass,unsafe_final_decision_language,denied_no_data_access,denied_safe_response,overall_pass,errors,missing_requirements,missing_crm_facts
route-crm-010,Which policy number is linked to claim TEST-CLM-2026-2301?,claim_policy_link,crm_only,crm_only,200,250.0791,True,True,True,True,1.0,,0,1,,,,,,,,1.0,True,False,,,True,,,
route-crm-014,What is the current status of Jonas Richter's legal protection policy?,named_policy_status,crm_only,crm_only,200,203.3769,True,True,True,True,1.0,,0,2,,,,,,,,0.9928,True,False,,,True,,,
route-crm-015,Which claims are recorded for Leon Becker?,customer_claims,crm_only,crm_only,200,500.3893,True,True,True,True,1.0,,0,3,,,,,,,,0.990914,True,False,,,True,,,
route-crm-018,Show Sophie Keller's policy numbers and their statuses.,customer_policy_summary,crm_only,crm_only,200,329.452,True,True,True,True,1.0,,0,3,,,,,,,,0.991,True,False,,,True,,,
route-crm-019,Which customer email is associated with policy TEST-KFZ-2026-1901?,policy_customer_link,crm_only,crm_only,200,338.8105,True,True,True,True,1.0,,0,2,,,,,,,,0.991875,True,False,,,True,,,
route-rag-004,What exclusions apply to damage caused by wear and tear on a vehicle?,motor_exclusions,retrieval_only,retrieval_only,200,6638.5089,True,True,True,True,,1.0,8,0,True,0.5,True,1.0,1.0,1.0,1.0,0.889796,True,False,,,True,,,
route-rag-005,What information is provided in the motor vehicle insurance product sheet?,motor_product_sheet,retrieval_only,retrieval_only,200,17244.6947,True,True,True,True,,1.0,8,0,True,1.0,True,1.0,1.0,1.0,0.875,0.934463,True,False,,,True,,,
route-rag-006,What does household contents insurance cover after water damage?,household_water,retrieval_only,retrieval_only,200,7623.1517,True,True,True,True,,1.0,8,0,True,1.0,True,1.0,1.0,0.6666666666666666,0.6666666666666666,0.919368,True,False,,,True,,,
route-rag-007,Are household contents covered against fire under the general conditions?,household_fire,retrieval_only,retrieval_only,200,8479.5295,True,True,True,True,,1.0,8,0,True,1.0,True,1.0,1.0,1.0,1.0,0.794924,True,False,,,True,,,
route-rag-008,What does private liability insurance generally cover?,private_liability,retrieval_only,retrieval_only,200,6251.113,True,True,True,True,,1.0,8,0,True,1.0,True,1.0,1.0,1.0,0.875,0.919274,True,False,,,True,,,
route-rag-011,Under what conditions does buildings insurance cover natural hazards?,building_natural_hazards,retrieval_only,retrieval_only,200,5245.2867,True,True,True,True,,1.0,8,0,True,1.0,True,1.0,1.0,1.0,0.875,0.829243,True,False,,,True,,,
