query_id,question,reference_answer,reference_evidence,generated_answer,result,wrong_claim,error_type,reason,api_status_code,api_error_code,answer_visibility
pdf-rag-001,"What coverage or rule is described for ""Grounding, strike or bankruptcy of your airline or tour operator"" in assistance brochure?","Grounding, strike or bankruptcy of your airline or tour operator Insured benefits We will cover the cost if you have to cancel, abort or extend your trip.","[{""source"": ""assistance-brochure.pdf"", ""page"": 4, ""quote"": ""Grounding, strike or bankruptcy of your airline or tour operator Insured benefits We will cover the cost if you have to cancel, abort or extend your trip.""}]","Travel assistance includes cancellation protection for supported unforeseen events before departure [assistance-brochure.pdf, page 4].
While travelling, supported benefits include transport, lodging, advances or unused services [assistance-brochure.pdf, page 4].

The coverage for ""Grounding, strike or bankruptcy of your airline or tour operator"" is included under the insured events for cancellation cost insurance. This coverage applies if such events occur before your departure, making it impossible for you to set off on your journey. 

Source: [assistance-brochure.pdf, page 4]",hallucination,"This coverage applies if such events occur before your departure, making it impossible for you to set off on your journey.",wrong_condition,"The reference evidence covers cancellation, interruption, or extension of the trip; the draft narrows the event to a pre-departure condition that makes departure impossible.",503,GUARDRAIL_INVALID_OUTPUT,withheld_before_user_delivery
pdf-rag-002,"How does assistance brochure describe ""Cancellation cost insurance Cancellation cost insurance covers you for unforeseen""?",Cancellation cost insurance Cancellation cost insurance covers you for unforeseen events occurring before your departure that make it impossible for you to set off on your journey.,"[{""source"": ""assistance-brochure.pdf"", ""page"": 2, ""quote"": ""Cancellation cost insurance Cancellation cost insurance covers you for unforeseen events occurring before your departure that make it impossible for you to set off on your journey.""}]","Travel assistance includes cancellation protection for supported unforeseen events before departure [assistance-brochure.pdf, page 4].
While travelling, supported benefits include transport, lodging, advances or unused services [assistance-brochure.pdf, page 4].

Cancellation cost insurance covers you for unforeseen events occurring before your departure that make it impossible for you to set off on your journey. 

Source: [assistance-brochure.pdf, page 2]",unknown,,unsupported_fact,"No factual contradiction could be confirmed from the reference and supplied evidence; the remaining additional, incomplete, or irrelevant content is therefore conservatively classified as unknown.",503,GUARDRAIL_INVALID_OUTPUT,withheld_before_user_delivery
pdf-rag-003,"What does assistance brochure say concerning ""“All-round insurance: in your leisure time, while travelling, worldwide.” Good""?","“All-round insurance: in your leisure time, while travelling, worldwide.” Good to know With Assistance for persons insurance, all booked holidays, trips, events and concerts are insured throughout the year.","[{""source"": ""assistance-brochure.pdf"", ""page"": 3, ""quote"": ""“All-round insurance: in your leisure time, while travelling, worldwide.” Good to know With Assistance for persons insurance, all booked holidays, trips, events and concerts are insured throughout the year.""}]","Travel assistance includes cancellation protection for supported unforeseen events before departure [assistance-brochure.pdf, page 4].
While travelling, supported benefits include transport, lodging, advances or unused services [assistance-brochure.pdf, page 4].

The assistance brochure states that with Assistance for persons insurance, all booked holidays, trips, events, and concerts are insured throughout the year. This means that the insurance covers you during your leisure time and while travelling worldwide. 

Source: [assistance-brochure.pdf, page 3]",correct,,,The generated draft accurately reflects the information provided in the reference answer and quote.,503,GUARDRAIL_INVALID_OUTPUT,withheld_before_user_delivery
pdf-rag-004,"According to assistance brochure, what does it state about ""Cancellation cost insurance covers you for unforeseen events occurring before""?",Cancellation cost insurance covers you for unforeseen events occurring before your departure that make it impossible for you to set off on your journey.,"[{""source"": ""assistance-brochure.pdf"", ""page"": 4, ""quote"": ""Cancellation cost insurance covers you for unforeseen events occurring before your departure that make it impossible for you to set off on your journey.""}]","Travel assistance includes cancellation protection for supported unforeseen events before departure [assistance-brochure.pdf, page 4].

Cancellation cost insurance covers you for unforeseen events occurring before your departure that make it impossible for you to set off on your journey. The insured events include:

- Illness, accident or death
- Loss of employment
- Breakdown/delay of public transport
- Breakdown of the vehicle or taxi you are travelling in
- Damage to your property at home
- Incidents occurring en route to or after arrival at your destination (e.g., strikes, terrorism, volcanic eruption or other natural events)
- Grounding, strike or bankruptcy of your airline or tour operator

These events allow for coverage of cancellation costs, including administration fees and additional travel expenses in the event of delayed departure. 

Source: [assistance-brochure.pdf, page 4]",unknown,,unsupported_fact,"No factual contradiction could be confirmed from the reference and supplied evidence; the remaining additional, incomplete, or irrelevant content is therefore conservatively classified as unknown.",503,GUARDRAIL_INVALID_OUTPUT,withheld_before_user_delivery
pdf-rag-005,"What coverage or rule is described for ""Under the motor vehicle Assistance policy, cover is provided in"" in assistance brochure?","Under the motor vehicle Assistance policy, cover is provided in Switzerland, the Principality of Liechtenstein and in European countries under the “International Motor Insurance Card” agreement (Green Card).","[{""source"": ""assistance-brochure.pdf"", ""page"": 6, ""quote"": ""Under the motor vehicle Assistance policy, cover is provided in Switzerland, the Principality of Liechtenstein and in European countries under the “International Motor Insurance Card” agreement (Green Card).""}]","Travel assistance includes cancellation protection for supported unforeseen events before departure [assistance-brochure.pdf, page 4].
While travelling, supported benefits include transport, lodging, advances or unused services [assistance-brochure.pdf, page 4].

Under the motor vehicle Assistance policy, cover is provided in:

- Switzerland
- The Principality of Liechtenstein
- European countries under the “International Motor Insurance Card” agreement (Green Card) 

Source: [assistance-brochure.pdf, page 6]",correct,,,The generated draft accurately reflects the coverage provided under the motor vehicle Assistance policy as stated in the reference answer and quote.,503,GUARDRAIL_INVALID_OUTPUT,withheld_before_user_delivery
pdf-rag-006,"How does assistance brochure describe ""Assistance for persons Assistance for persons provides insurance to cover""?",Assistance for persons Assistance for persons provides insurance to cover you if anything happens while you're travelling.,"[{""source"": ""assistance-brochure.pdf"", ""page"": 2, ""quote"": ""Assistance for persons Assistance for persons provides insurance to cover you if anything happens while you're travelling.""}]","Travel assistance includes cancellation protection for supported unforeseen events before departure [assistance-brochure.pdf, page 4].

The assistance brochure describes ""Assistance for persons"" as insurance that covers you if anything happens while you're travelling. This includes various insured events such as:

- Illness, accident, or death
- Loss of employment
- Breakdown/delay of public transport
- Breakdown of the vehicle or taxi you are travelling in
- Damage to your property at home
- Incidents occurring en route to or after arrival at your destination (e.g., strikes, terrorism, volcanic eruption, or other natural events)
- Grounding, strike, or bankruptcy of your airline or tour operator

This coverage ensures that you are protected during your journey, providing support for unforeseen circumstances. 

Source: [assistance-brochure.pdf, page 4]",unknown,,unsupported_fact,"No factual contradiction could be confirmed from the reference and supplied evidence; the remaining additional, incomplete, or irrelevant content is therefore conservatively classified as unknown.",503,GUARDRAIL_INVALID_OUTPUT,withheld_before_user_delivery
pdf-rag-007,"What does assistance brochure say concerning ""Assistance for persons provides insurance to cover you if anything""?",Assistance for persons provides insurance to cover you if anything happens while you're travelling.,"[{""source"": ""assistance-brochure.pdf"", ""page"": 4, ""quote"": ""Assistance for persons provides insurance to cover you if anything happens while you're travelling.""}]","Travel assistance includes cancellation protection for supported unforeseen events before departure [assistance-brochure.pdf, page 4].

The assistance brochure states that ""Assistance for persons provides insurance to cover you if anything happens while you're travelling."" This insurance covers various insured events such as:

- Illness, accident, or death
- Loss of employment
- Breakdown/delay of public transport
- Breakdown of the vehicle or taxi you are travelling in
- Damage to your property at home
- Incidents occurring en route to or after arrival at your destination (e.g., strikes, terrorism, volcanic eruption, or other natural events)
- Grounding, strike, or bankruptcy of your airline or tour operator

These events are covered during your trip, ensuring support in unforeseen circumstances. 

Source: [assistance-brochure.pdf, page 4]",correct,,,The generated draft accurately reflects the information provided in the reference answer and quote.,503,GUARDRAIL_INVALID_OUTPUT,withheld_before_user_delivery
pdf-rag-008,"According to assistance brochure, what does it state about ""If you are unable to continue your journey due to""?",If you are unable to continue your journey due to illness or an accident Insured benefits,"[{""source"": ""assistance-brochure.pdf"", ""page"": 5, ""quote"": ""If you are unable to continue your journey due to illness or an accident Insured benefits""}]","Travel assistance includes cancellation protection for supported unforeseen events before departure [assistance-brochure.pdf, page 4].
While travelling, supported benefits include transport, lodging, advances or unused services [assistance-brochure.pdf, page 4].

Evidence-based answer:",unknown,,unsupported_fact,"No factual contradiction could be confirmed from the reference and supplied evidence; the remaining additional, incomplete, or irrelevant content is therefore conservatively classified as unknown.",503,GUARDRAIL_INVALID_OUTPUT,withheld_before_user_delivery
pdf-rag-009,"What coverage or rule is described for ""Cover for e-bikes and motorcycles is valid in Switzerland and"" in assistance brochure?",Cover for e-bikes and motorcycles is valid in Switzerland and the Principality of Liechtenstein as well as in neighbouring countries within a distance of 150 km (as the crow flies) of the common border.,"[{""source"": ""assistance-brochure.pdf"", ""page"": 6, ""quote"": ""Cover for e-bikes and motorcycles is valid in Switzerland and the Principality of Liechtenstein as well as in neighbouring countries within a distance of 150 km (as the crow flies) of the common border.""}]","Travel assistance includes cancellation protection for supported unforeseen events before departure [assistance-brochure.pdf, page 4].
While travelling, supported benefits include transport, lodging, advances or unused services [assistance-brochure.pdf, page 4].

Cover for e-bikes and motorcycles is valid in Switzerland and the Principality of Liechtenstein, as well as in neighboring countries within a distance of 150 km (as the crow flies) of the common border. 

Source:
[assistance-brochure.pdf, page 6]",correct,,,The generated draft accurately reflects the coverage for e-bikes and motorcycles as stated in the reference answer and quote.,503,GUARDRAIL_INVALID_OUTPUT,withheld_before_user_delivery
pdf-rag-010,"How does assistance brochure describe ""Motor vehicle Assistance If you travel by car or motorbike""?","Motor vehicle Assistance If you travel by car or motorbike, or occasionally rent a vehicle, it makes sense to take out motor vehicle Assistance insurance.","[{""source"": ""assistance-brochure.pdf"", ""page"": 7, ""quote"": ""Motor vehicle Assistance If you travel by car or motorbike, or occasionally rent a vehicle, it makes sense to take out motor vehicle Assistance insurance.""}]","Travel assistance includes cancellation protection for supported unforeseen events before departure [assistance-brochure.pdf, page 4].
While travelling, supported benefits include transport, lodging, advances or unused services [assistance-brochure.pdf, page 4].

The assistance brochure describes ""Motor vehicle Assistance"" as a sensible option for those who travel by car or motorbike. It emphasizes the importance of having this insurance, especially if you occasionally rent a vehicle. 

Key points include:
- Coverage for breakdown assistance, towing, and vehicle recovery.
- Recovery and return travel costs.
- Hire car costs and damage to hire cars.
- Additional expenses related to the insured event.

This insurance is designed to provide peace of mind while traveling by motor vehicle. 

Source: [assistance-brochure.pdf, page 7]",unknown,,unsupported_fact,"No factual contradiction could be confirmed from the reference and supplied evidence; the remaining additional, incomplete, or irrelevant content is therefore conservatively classified as unknown.",503,GUARDRAIL_INVALID_OUTPUT,withheld_before_user_delivery
