id,question,subcategory,expected_route,actual_route,status_code,latency_ms,evaluable,route_correct,operational_success,answer_present,crm_fact_recall,requirement_recall,document_source_count,crm_source_count,expected_document_source_present,retrieval_expected_file_precision,citation_expected_document_present,citation_expected_file_precision,citation_returned_source_link_precision,citation_claim_coverage_proxy,claim_support_rate,groundedness_score,groundedness_pass,unsafe_final_decision_language,denied_no_data_access,denied_safe_response,overall_pass,errors,missing_requirements,missing_crm_facts
route-rag-006,What does household contents insurance cover after water damage?,household_water,retrieval_only,retrieval_only,200,22769.0438,True,True,True,True,,0.0,0,0,False,,False,,,0.0,0.0,0.701757,False,False,,,False,expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,household_water_event;household_contents_damage,
route-rag-011,Under what conditions does buildings insurance cover natural hazards?,building_natural_hazards,retrieval_only,retrieval_only,206,11728.5738,True,True,True,True,,1.0,8,0,True,1.0,True,1.0,1.0,1.0,0.875,0.813998,True,False,,,True,,,
route-rag-013,What legal disputes are covered by legal protection insurance?,legal_protection_scope,retrieval_only,retrieval_only,200,10277.067,True,True,True,True,,0.0,0,0,False,,False,,,0.0,0.0,0.681958,False,False,,,False,expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,legal_scope,
route-rag-014,Which waiting periods or exclusions apply to legal protection cover?,legal_protection_exclusions,retrieval_only,retrieval_only,200,6969.7389,True,True,True,True,,0.5,8,0,True,1.0,True,1.0,1.0,1.0,0.7272727272727273,0.886349,True,False,,,False,requirement_recall_below_threshold,legal_waiting_period,
route-rag-016,What travel assistance benefits are described in the assistance brochure?,travel_assistance,retrieval_only,retrieval_only,200,8239.3294,True,True,True,True,,1.0,8,0,True,1.0,True,1.0,1.0,1.0,1.0,0.850298,True,False,,,True,,,
route-rag-017,What services are summarized in the insurance services brochure?,services_brochure,retrieval_only,retrieval_only,200,6516.0953,True,True,True,True,,0.0,0,0,False,,False,,,0.0,0.0,0.749685,False,False,,,False,expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,services_247;services_claim_payment,
route-rag-019,Which mutual provisions are described for private health insurance?,private_health,retrieval_only,retrieval_only,206,8218.05,True,True,True,True,,0.0,0,0,False,,False,,,0.0,0.0,0.248125,False,False,,,False,expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,mutual_contract_rules;mutual_claim_rules,
route-rag-020,How do the insurance terms distinguish repair from replacement of a damaged windscreen?,windscreen_repair,retrieval_only,retrieval_only,200,10008.7952,True,True,True,True,,0.0,0,0,False,,False,,,0.0,0.0,0.756466,False,False,,,False,expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,windscreen_repair_replacement;windscreen_repair_process,
route-combined-005,"For Sophie Keller's legal protection policy, what disputes are generally covered and what is the policy status?",legal_scope_and_status,combined,combined,206,10585.8424,True,True,True,True,1.0,0.0,8,2,True,1.0,True,1.0,1.0,1.0,0.8,0.909014,True,False,,,False,requirement_recall_below_threshold,legal_scope,
route-combined-006,"Under the private liability conditions, is personal liability damage generally covered for policy TEST-PHV-2025-1301, and when did that policy end?",liability_and_end_date,combined,combined,206,11143.1442,True,True,True,True,0.0,0.0,0,0,False,,False,,,0.0,0.0,0.731799,False,False,,,False,crm_fact_incomplete_or_incorrect;expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,private_liability_scope,TEST-PHV-2025-1301:endDate=2025-12-31;TEST-PHV-2025-1301:status=Expired
route-combined-009,"For policy TEST-RS-2026-1501, which legal disputes are covered according to the terms and what CRM status does the contract have?",legal_scope_and_contract_status,combined,combined,200,9837.5767,True,True,True,True,1.0,0.0,8,1,True,0.75,True,1.0,1.0,1.0,0.5555555555555556,0.930912,True,False,,,False,requirement_recall_below_threshold,legal_scope,
route-combined-010,"Amira Hoffmann has a private liability claim. Is this kind of damage generally covered, and what is her current claim status?",liability_and_claim_status,combined,combined,200,10611.734,True,True,True,True,0.0,0.0,0,0,False,,False,,,0.0,0.0,0.25,False,False,,,False,crm_fact_incomplete_or_incorrect;expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,private_liability_scope;private_liability_damage,TEST-PHV-2026-1601:status=Rejected
route-combined-013,"For Mila Hartmann's household policy, is water damage covered under the general conditions and what is the policy status?",household_water_and_status,combined,combined,200,11576.9961,True,True,True,True,0.0,0.0,0,0,False,,False,,,0.0,0.0,0.25,False,False,,,False,crm_fact_incomplete_or_incorrect;expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,household_water_event;household_contents_damage,TEST-HH-2026-1801:status=Pending
route-combined-014,"Does Leon Becker's fully comprehensive motor policy generally cover collision damage, and what annual premium is recorded?",motor_collision_and_premium,combined,combined,200,7355.1794,True,True,True,True,0.0,0.0,0,0,False,,False,,,0.0,0.0,0.25,False,False,,,False,crm_fact_incomplete_or_incorrect;expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,motor_collision_event;motor_collision_comprehensive,TEST-KFZ-2026-1901:annualPremium=1290;TEST-KFZ-2026-1901:currency=EUR
route-combined-016,"For Leon Becker's private liability policy, is property damage generally covered and what deductible is recorded in CRM?",liability_property_and_deductible,combined,combined,206,12190.355,True,True,True,True,0.0,0.0,0,0,False,,False,,,0.0,0.0,0.749585,False,False,,,False,crm_fact_incomplete_or_incorrect;expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,private_liability_scope;private_liability_damage,TEST-PHV-2026-1902:deductible=0;TEST-PHV-2026-1902:currency=EUR
route-combined-017,"For policy TEST-KFZ-2026-1003, do the motor terms cover damage caused by hail, and what coverage type does the customer have?",motor_hail_and_type,combined,combined,200,7446.2873,True,True,True,True,1.0,1.0,8,2,True,1.0,True,1.0,1.0,1.0,0.7142857142857143,0.875714,True,False,,,True,,,
route-combined-018,"According to the legal protection conditions, is the relevant dispute covered for policy TEST-RS-2026-1702, and what annual premium is recorded?",legal_dispute_and_premium,combined,combined,200,10058.5851,True,True,True,True,0.0,0.0,0,0,False,,False,,,0.0,0.0,0.25,False,False,,,False,crm_fact_incomplete_or_incorrect;expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,legal_scope,TEST-RS-2026-1702:annualPremium=310;TEST-RS-2026-1702:currency=EUR
