id,question,subcategory,expected_route,actual_route,status_code,latency_ms,answer,answer_present,fallback,source_count,expected_source_found,expected_page_found,reference_token_recall,citation_count,citation_link_precision,groundedness_score,groundedness_pass,claim_support_rate,supported_statement_count,statement_count,timeout_stage,operational_success,route_correct,error
pdf-rag-001,"What coverage or rule is described for ""Grounding, strike or bankruptcy of your airline or tour operator"" in assistance brochure?",assistance-brochure,retrieval_only,retrieval_only,200,31003.536,"Travel assistance includes cancellation protection for supported unforeseen events before departure [assistance-brochure.pdf, page 4].
While travelling, supported benefits include transport, lodging, advances or unused services [assistance-brochure.pdf, page 4].

The ""Grounding, strike or bankruptcy of your airline or tour operator"" is listed as an insured event under the cancellation cost insurance. This coverage applies if such events occur before your departure and make it impossible for you to set off on your journey. The benefits include covering the cost if you have to cancel, abort, or extend your trip due to these unforeseen events. 

Source: [assistance-brochure.pdf, page 4]",True,False,8,True,True,0.875,3,1.0,0.850409,True,1.0,6,6,,True,True,
pdf-rag-002,"How does assistance brochure describe ""Cancellation cost insurance Cancellation cost insurance covers you for unforeseen""?",assistance-brochure,retrieval_only,retrieval_only,200,23146.485,"Travel assistance includes cancellation protection for supported unforeseen events before departure [assistance-brochure.pdf, page 4].
While travelling, supported benefits include transport, lodging, advances or unused services [assistance-brochure.pdf, page 4].

Cancellation cost insurance covers you for unforeseen events occurring before your departure that make it impossible for you to set off on your journey. 

Source: [assistance-brochure.pdf, page 2]",True,False,8,True,True,1.0,3,1.0,0.87,True,1.0,4,4,,True,True,
pdf-rag-003,"What does assistance brochure say concerning ""“All-round insurance: in your leisure time, while travelling, worldwide.” Good""?",assistance-brochure,retrieval_only,retrieval_only,200,21615.229,"Travel assistance includes cancellation protection for supported unforeseen events before departure [assistance-brochure.pdf, page 4].
While travelling, supported benefits include transport, lodging, advances or unused services [assistance-brochure.pdf, page 4].

The assistance brochure states that with Assistance for persons insurance, all booked holidays, trips, events, and concerts are insured throughout the year. 

Source: [assistance-brochure.pdf, page 3]",True,False,8,True,True,0.6785714285714286,3,1.0,0.819864,True,1.0,4,4,,True,True,
pdf-rag-004,"According to assistance brochure, what does it state about ""Cancellation cost insurance covers you for unforeseen events occurring before""?",assistance-brochure,retrieval_only,retrieval_only,200,6529.203,"Travel assistance includes cancellation protection for supported unforeseen events before departure [assistance-brochure.pdf, page 4].

Cancellation cost insurance covers you for unforeseen events occurring before your departure that make it impossible for you to set off on your journey. Insured events include:

- Illness, accident or death
- Loss of employment
- Breakdown/delay of public transport
- Breakdown of the vehicle or taxi you are travelling in
- Damage to your property at home
- Incidents occurring en route to or after arrival at your destination (e.g., strikes, terrorism, volcanic eruption or other natural events)
- Grounding, strike or bankruptcy of your airline or tour operator

This insurance will cover the cost if you have to cancel, abort, or extend your trip, including cancellation costs and additional travel expenses in the event of delayed departure. 

Source: [assistance-brochure.pdf, page 4]",True,False,8,True,True,1.0,2,1.0,0.936883,True,1.0,10,10,,True,True,
pdf-rag-005,"What coverage or rule is described for ""Under the motor vehicle Assistance policy, cover is provided in"" in assistance brochure?",assistance-brochure,retrieval_only,retrieval_only,200,23563.288,"Travel assistance includes cancellation protection for supported unforeseen events before departure [assistance-brochure.pdf, page 4].
While travelling, supported benefits include transport, lodging, advances or unused services [assistance-brochure.pdf, page 4].

Under the motor vehicle Assistance policy, cover is provided in:

- Switzerland
- The Principality of Liechtenstein
- European countries under the “International Motor Insurance Card” agreement (Green Card) 

[assistance-brochure.pdf, page 6]",True,False,8,True,True,0.9545454545454546,3,1.0,0.863899,True,1.0,6,6,,True,True,
pdf-rag-006,"How does assistance brochure describe ""Assistance for persons Assistance for persons provides insurance to cover""?",assistance-brochure,retrieval_only,retrieval_only,200,30770.967,"The assistance brochure describes ""Assistance for persons"" as providing insurance to cover you if anything happens while you're travelling. This includes coverage for various insured events such as:

- Illness, accident or death
- Loss of employment
- Breakdown/delay of public transport
- Breakdown of the vehicle or taxi you are travelling in
- Damage to your property at home
- Incidents occurring en route to or after arrival at your destination (e.g., strikes, terrorism, volcanic eruption, or other natural events)
- Grounding, strike, or bankruptcy of your airline or tour operator

This insurance covers the costs if you have to cancel, abort, or extend your trip, and it includes both pre-departure and benefits while travelling. 

Source: [assistance-brochure.pdf, page 4]",True,False,8,True,True,0.9285714285714286,1,1.0,0.938248,True,1.0,10,10,,True,True,
pdf-rag-007,"What does assistance brochure say concerning ""Assistance for persons provides insurance to cover you if anything""?",assistance-brochure,retrieval_only,retrieval_only,200,31565.922,"Travel assistance includes cancellation protection for supported unforeseen events before departure [assistance-brochure.pdf, page 4].

The assistance brochure states that ""Assistance for persons provides insurance to cover you if anything happens while you're travelling."" This coverage includes various insured events such as:

- Illness, accident or death
- Loss of employment
- Breakdown/delay of public transport
- Breakdown of the vehicle or taxi you are travelling in
- Damage to your property at home
- Incidents occurring en route to or after arrival at your destination (e.g., strikes, terrorism, volcanic eruption or other natural events)
- Grounding, strike or bankruptcy of your airline or tour operator

This insurance is designed to provide support during your travels, covering costs related to these events. 

Source: [assistance-brochure.pdf, page 4]",True,False,8,True,True,1.0,2,1.0,0.796884,True,1.0,10,10,,True,True,
pdf-rag-008,"According to assistance brochure, what does it state about ""If you are unable to continue your journey due to""?",assistance-brochure,retrieval_only,retrieval_only,200,18987.855,"Travel assistance includes cancellation protection for supported unforeseen events before departure [assistance-brochure.pdf, page 4].
While travelling, supported benefits include transport, lodging, advances or unused services [assistance-brochure.pdf, page 4].

Evidence-based answer:",True,False,8,True,True,0.13333333333333333,2,1.0,0.8235,True,1.0,2,2,,True,True,
pdf-rag-009,"What coverage or rule is described for ""Cover for e-bikes and motorcycles is valid in Switzerland and"" in assistance brochure?",assistance-brochure,retrieval_only,retrieval_only,200,21334.452,"Travel assistance includes cancellation protection for supported unforeseen events before departure [assistance-brochure.pdf, page 4].
While travelling, supported benefits include transport, lodging, advances or unused services [assistance-brochure.pdf, page 4].

Cover for e-bikes and motorcycles is valid in Switzerland and the Principality of Liechtenstein, as well as in neighboring countries within a distance of 150 km (as the crow flies) of the common border. 

Source: [assistance-brochure.pdf, page 6]",True,False,8,True,True,0.9629629629629629,3,1.0,0.848525,True,1.0,4,4,,True,True,
pdf-rag-010,"How does assistance brochure describe ""Motor vehicle Assistance If you travel by car or motorbike""?",assistance-brochure,retrieval_only,,504,56770.007,,False,False,0,False,False,0.0,0,,,,,0,0,,False,False,
pdf-rag-011,"What does assistance sti say concerning ""C5 Bias of the assessor The insurance does not cover""?",assistance-sti,retrieval_only,retrieval_only,200,17976.774,"The insurance does not cover events in which the assessor (expert, doctor, assessor, etc.) who is evaluating the loss occurrence directly benefits from the loss occurrence or is related to the insured person by blood or marriage. 

Source: [assistance-sti.pdf, page 6]",True,False,8,True,True,0.9032258064516129,1,1.0,0.995714,True,1.0,2,2,,True,True,
pdf-rag-012,"According to assistance sti, what does it state about ""B2 Delayed commencement of travel If, as a result of""?",assistance-sti,retrieval_only,retrieval_only,200,27133.406,"Travel assistance includes cancellation protection for supported unforeseen events before departure [assistance-sti.pdf, page 3].

B2 Delayed commencement of travel states that if, as a result of an insured event, the insured person cannot take a trip or enter a rented property or event until after the originally agreed date, then instead of covering the cancellation costs, Helvetia will cover the additional costs incurred in relation to the delayed departure and the costs for the unused part of the stay in proportion to the arrangement price (not including transport costs). The benefits are limited to the amount of the agreed arrangement price. The day of arrival is deemed to be the used arrangement day. 

Source: [assistance-sti.pdf, page 3]",True,False,8,True,True,1.0,2,1.0,0.877819,True,1.0,5,5,,True,True,
