id,question,subcategory,expected_route,actual_route,status_code,latency_ms,evaluable,route_correct,operational_success,answer_present,crm_fact_recall,requirement_recall,document_source_count,crm_source_count,expected_document_source_present,retrieval_expected_file_precision,citation_expected_document_present,citation_expected_file_precision,citation_returned_source_link_precision,citation_claim_coverage_proxy,claim_support_rate,groundedness_score,groundedness_pass,unsafe_final_decision_language,denied_no_data_access,denied_safe_response,overall_pass,errors,missing_requirements,missing_crm_facts
route-crm-010,Which policy number is linked to claim TEST-CLM-2026-2301?,claim_policy_link,crm_only,crm_only,200,696.0366,True,True,True,True,1.0,,0,1,,,,,,,,1.0,True,False,,,True,,,
route-crm-014,What is the current status of Jonas Richter's legal protection policy?,named_policy_status,crm_only,crm_only,200,173.1398,True,True,True,True,1.0,,0,2,,,,,,,,0.9928,True,False,,,True,,,
route-crm-015,Which claims are recorded for Leon Becker?,customer_claims,crm_only,crm_only,200,180.3557,True,True,True,True,1.0,,0,3,,,,,,,,0.990914,True,False,,,True,,,
route-crm-018,Show Sophie Keller's policy numbers and their statuses.,customer_policy_summary,crm_only,crm_only,200,183.6027,True,True,True,True,1.0,,0,3,,,,,,,,0.991,True,False,,,True,,,
route-crm-019,Which customer email is associated with policy TEST-KFZ-2026-1901?,policy_customer_link,crm_only,crm_only,200,156.9811,True,True,True,True,1.0,,0,2,,,,,,,,0.991875,True,False,,,True,,,
route-rag-004,What exclusions apply to damage caused by wear and tear on a vehicle?,motor_exclusions,retrieval_only,retrieval_only,200,34948.1659,True,True,True,True,,0.0,5,0,True,0.8,True,1.0,1.0,1.0,0.8,0.846471,True,False,,,False,requirement_recall_below_threshold,motor_wear_exclusion,
route-rag-005,What information is provided in the motor vehicle insurance product sheet?,motor_product_sheet,retrieval_only,retrieval_only,200,4916.8228,True,True,True,True,,0.3333333333333333,2,0,True,1.0,True,1.0,1.0,1.0,0.6875,0.844907,True,False,,,False,requirement_recall_below_threshold,motor_product_liability;motor_product_assistance,
route-rag-006,What does household contents insurance cover after water damage?,household_water,retrieval_only,retrieval_only,200,10630.4713,True,True,True,True,,0.0,0,0,False,,False,,,0.0,0.0,0.652698,False,False,,,False,expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,household_water_event;household_contents_damage,
route-rag-007,Are household contents covered against fire under the general conditions?,household_fire,retrieval_only,retrieval_only,200,4015.794,True,True,True,True,,0.0,0,0,False,,False,,,0.0,0.0,0.12425,False,False,,,False,expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,household_fire_event;household_contents_damage,
route-rag-008,What does private liability insurance generally cover?,private_liability,retrieval_only,retrieval_only,200,13763.2961,True,True,True,True,,0.0,0,0,False,,False,,,0.0,0.0,0.639836,False,False,,,False,expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,private_liability_scope;private_liability_damage,
route-rag-011,Under what conditions does buildings insurance cover natural hazards?,building_natural_hazards,retrieval_only,retrieval_only,200,2475.8749,True,True,True,True,,0.0,0,0,False,,False,,,0.0,0.0,0.125,False,False,,,False,expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,building_natural_hazards;building_policy_condition,
route-rag-013,What legal disputes are covered by legal protection insurance?,legal_protection_scope,retrieval_only,retrieval_only,200,10727.0521,True,True,True,True,,0.0,0,0,False,,False,,,0.0,0.0,0.755901,False,False,,,False,expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,legal_scope,
route-rag-014,Which waiting periods or exclusions apply to legal protection cover?,legal_protection_exclusions,retrieval_only,retrieval_only,200,3472.6892,True,True,True,True,,0.0,0,0,False,,False,,,0.0,0.0,0.0,False,False,,,False,expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,legal_waiting_period;legal_specific_exclusions,
route-rag-016,What travel assistance benefits are described in the assistance brochure?,travel_assistance,retrieval_only,retrieval_only,200,4479.1635,True,True,True,True,,0.0,2,0,True,1.0,True,1.0,1.0,1.0,0.8181818181818182,0.909119,True,False,,,False,requirement_recall_below_threshold,travel_assistance_predeparture;travel_assistance_during,
route-rag-017,What services are summarized in the insurance services brochure?,services_brochure,retrieval_only,retrieval_only,200,3603.8915,True,True,True,True,,0.0,0,0,False,,False,,,0.0,0.0,0.38,False,False,,,False,expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,services_247;services_claim_payment,
route-rag-019,Which mutual provisions are described for private health insurance?,private_health,retrieval_only,retrieval_only,200,2015.3918,True,True,True,True,,0.0,0,0,False,,False,,,0.0,0.0,0.0,False,False,,,False,expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,mutual_contract_rules;mutual_claim_rules,
route-rag-020,How do the insurance terms distinguish repair from replacement of a damaged windscreen?,windscreen_repair,retrieval_only,retrieval_only,200,9930.2346,True,True,True,True,,0.0,0,0,False,,False,,,0.0,0.0,0.787171,False,False,,,False,expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,windscreen_repair_replacement;windscreen_repair_process,
route-combined-003,"For Oliver Brandt's current motor policy, is parking collision damage generally covered and what annual premium is stored in CRM?",motor_collision_and_premium,combined,combined,200,12858.9447,True,True,True,True,1.0,1.0,5,2,True,0.8,True,1.0,1.0,1.0,1.0,0.946745,True,False,,,True,,,
route-combined-004,"Does policy TEST-HH-2026-1201 cover water damage according to the household insurance terms, and what deductible is recorded for the policy?",household_water_and_deductible,combined,combined,200,11120.6174,True,True,True,True,0.0,0.0,0,0,False,,False,,,0.0,0.0,0.0,False,False,,,False,crm_fact_incomplete_or_incorrect;expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,household_water_event;household_contents_damage,TEST-HH-2026-1201:deductible=250;TEST-HH-2026-1201:currency=EUR
route-combined-005,"For Sophie Keller's legal protection policy, what disputes are generally covered and what is the policy status?",legal_scope_and_status,combined,combined,200,9631.7317,True,True,True,True,0.0,0.0,0,0,False,,False,,,0.0,0.0,0.0,False,False,,,False,crm_fact_incomplete_or_incorrect;expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,legal_scope,TEST-RS-2026-1202:status=Pending
route-combined-006,"Under the private liability conditions, is personal liability damage generally covered for policy TEST-PHV-2025-1301, and when did that policy end?",liability_and_end_date,combined,combined,200,4525.5323,True,True,True,True,0.0,0.0,0,0,False,,False,,,0.0,0.0,0.58225,False,False,,,False,crm_fact_incomplete_or_incorrect;expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,private_liability_scope,TEST-PHV-2025-1301:endDate=2025-12-31;TEST-PHV-2025-1301:status=Expired
route-combined-007,"For Hannah Vogel's motor policy, is third-party liability damage covered by the general conditions and what coverage type is recorded?",motor_liability_and_type,combined,combined,200,3807.1762,True,True,True,True,1.0,0.0,2,2,True,1.0,True,1.0,1.0,1.0,0.8,0.881328,True,False,,,False,requirement_recall_below_threshold,motor_liability_scope,
route-combined-008,"Does Hannah Vogel's household policy generally cover fire damage, and what annual premium is recorded for it?",household_fire_and_premium,combined,combined,200,8518.2884,True,True,True,True,1.0,0.0,5,2,True,1.0,True,1.0,1.0,1.0,0.3333333333333333,0.818578,True,False,,,False,requirement_recall_below_threshold,household_fire_event,
route-combined-009,"For policy TEST-RS-2026-1501, which legal disputes are covered according to the terms and what CRM status does the contract have?",legal_scope_and_contract_status,combined,combined,200,12892.9037,True,True,True,True,1.0,0.0,5,1,True,1.0,True,1.0,1.0,1.0,0.6428571428571429,0.818476,True,False,,,False,requirement_recall_below_threshold,legal_scope,
route-combined-010,"Amira Hoffmann has a private liability claim. Is this kind of damage generally covered, and what is her current claim status?",liability_and_claim_status,combined,combined,200,9179.9345,True,True,True,True,0.0,0.0,0,0,False,,False,,,0.0,0.0,0.716345,False,False,,,False,crm_fact_incomplete_or_incorrect;expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,private_liability_scope;private_liability_damage,TEST-PHV-2026-1601:status=Rejected
route-combined-011,"For Noah Weber's partially comprehensive motor policy, is vehicle theft generally covered and what deductible is recorded?",motor_theft_and_deductible,combined,combined,200,9583.7384,True,True,True,True,1.0,1.0,5,2,True,0.8,True,0.5,1.0,1.0,0.6666666666666666,0.851796,True,False,,,True,,,
route-combined-012,"Noah Weber reported theft damage. According to the motor insurance terms, is theft covered and what is the status of claim TEST-CLM-2026-2501?",motor_theft_and_claim,combined,combined,200,5711.7782,True,True,True,True,0.0,0.0,0,0,False,,False,,,0.0,0.0,0.504882,False,False,,,False,crm_fact_incomplete_or_incorrect;expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,motor_theft_cover,TEST-KFZ-2026-1701:status=Under Review
route-combined-013,"For Mila Hartmann's household policy, is water damage covered under the general conditions and what is the policy status?",household_water_and_status,combined,combined,200,11217.8484,True,True,True,True,0.0,0.0,0,0,False,,False,,,0.0,0.0,0.0,False,False,,,False,crm_fact_incomplete_or_incorrect;expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,household_water_event;household_contents_damage,TEST-HH-2026-1801:status=Pending
route-combined-014,"Does Leon Becker's fully comprehensive motor policy generally cover collision damage, and what annual premium is recorded?",motor_collision_and_premium,combined,combined,200,10368.602,True,True,True,True,1.0,1.0,5,2,True,0.8,False,0.0,1.0,1.0,1.0,0.913979,True,False,,,False,expected_document_citation_missing,,
route-combined-015,"For claim TEST-CLM-2026-2601, is collision damage covered by the relevant insurance conditions and what claimed amount is stored?",collision_and_claim_amount,combined,combined,200,10543.8606,True,True,True,True,1.0,0.5,5,1,True,0.4,True,0.5,1.0,1.0,0.3333333333333333,0.852373,True,False,,,False,requirement_recall_below_threshold,motor_collision_event,
route-combined-016,"For Leon Becker's private liability policy, is property damage generally covered and what deductible is recorded in CRM?",liability_property_and_deductible,combined,combined,200,10469.2717,True,True,True,True,1.0,0.0,5,2,True,1.0,True,1.0,1.0,1.0,0.6666666666666666,0.790486,True,False,,,False,requirement_recall_below_threshold,private_liability_scope;private_liability_damage,
route-combined-017,"For policy TEST-KFZ-2026-1003, do the motor terms cover damage caused by hail, and what coverage type does the customer have?",motor_hail_and_type,combined,combined,200,3435.3578,True,True,True,True,0.0,0.0,0,0,False,,False,,,0.0,0.0,0.0,False,False,,,False,crm_fact_incomplete_or_incorrect;expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,motor_hail_cover,TEST-KFZ-2026-1003:coverageType=Partially comprehensive cover
route-combined-018,"According to the legal protection conditions, is the relevant dispute covered for policy TEST-RS-2026-1702, and what annual premium is recorded?",legal_dispute_and_premium,combined,combined,200,3417.8886,True,True,True,True,0.0,0.0,0,0,False,,False,,,0.0,0.0,0.0,False,False,,,False,crm_fact_incomplete_or_incorrect;expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,legal_scope,TEST-RS-2026-1702:annualPremium=310;TEST-RS-2026-1702:currency=EUR
