id,question,subcategory,expected_route,actual_route,status_code,latency_ms,evaluable,route_correct,operational_success,answer_present,crm_fact_recall,requirement_recall,document_source_count,crm_source_count,expected_document_source_present,retrieval_expected_file_precision,citation_expected_document_present,citation_expected_file_precision,citation_returned_source_link_precision,citation_claim_coverage_proxy,claim_support_rate,groundedness_score,groundedness_pass,unsafe_final_decision_language,denied_no_data_access,denied_safe_response,overall_pass,errors,missing_requirements,missing_crm_facts
route-crm-001,What annual premium is recorded for policy TEST-KFZ-2026-1001?,policy_premium,crm_only,crm_only,200,1267.4082,True,True,True,True,1.0,,0,1,,,,,,,,1.0,True,False,,,True,,,
route-crm-002,What deductible is stored for policy TEST-KFZ-2026-1101?,policy_deductible,crm_only,crm_only,200,156.8442,True,True,True,True,1.0,,0,1,,,,,,,,1.0,True,False,,,True,,,
route-crm-003,What is the status of policy TEST-RS-2026-1202?,policy_status,crm_only,crm_only,200,154.0701,True,True,True,True,1.0,,0,1,,,,,,,,1.0,True,False,,,True,,,
route-crm-004,Show the coverage type recorded for policy TEST-KFZ-2026-1401.,coverage_type,crm_only,crm_only,200,144.0837,True,True,True,True,1.0,,0,1,,,,,,,,1.0,True,False,,,True,,,
route-crm-005,Which active policies does Lara Neumann have?,customer_policies,crm_only,crm_only,200,281.3484,True,True,True,True,1.0,,0,4,,,,,,,,0.988717,True,False,,,True,,,
route-crm-006,What email address is recorded for Oliver Brandt?,contact_email,crm_only,crm_only,200,123.4694,True,True,True,True,1.0,,0,1,,,,,,,,1.0,True,False,,,True,,,
route-crm-007,Show the claim status for TEST-CLM-2026-2001.,claim_status,crm_only,crm_only,200,142.1746,True,True,True,True,1.0,,0,1,,,,,,,,1.0,True,False,,,True,,,
route-crm-008,What damage type is recorded for claim TEST-CLM-2026-2101?,claim_damage_type,crm_only,crm_only,200,168.2372,True,True,True,True,1.0,,0,1,,,,,,,,1.0,True,False,,,True,,,
route-crm-009,What claimed amount is stored for claim TEST-CLM-2026-2201?,claim_amount,crm_only,crm_only,200,138.6615,True,True,True,True,1.0,,0,1,,,,,,,,1.0,True,False,,,True,,,
route-crm-010,Which policy number is linked to claim TEST-CLM-2026-2301?,claim_policy_link,crm_only,crm_only,200,142.1118,True,True,True,True,0.0,,0,1,,,,,,,,1.0,True,False,,,False,crm_fact_incomplete_or_incorrect,,TEST-KFZ-2026-1401:policyNumber=TEST-KFZ-2026-1401
route-crm-011,What product type is recorded for policy TEST-PHV-2026-1601?,policy_product_type,crm_only,crm_only,200,131.8959,True,True,True,True,1.0,,0,1,,,,,,,,1.0,True,False,,,True,,,
route-crm-012,What is the end date of policy TEST-PHV-2025-1301?,policy_end_date,crm_only,crm_only,200,155.8096,True,True,True,True,1.0,,0,1,,,,,,,,1.0,True,False,,,True,,,
route-crm-013,List Noah Weber's current policies.,customer_policies,crm_only,crm_only,200,261.0288,True,True,True,True,1.0,,0,3,,,,,,,,0.993385,True,False,,,True,,,
route-crm-014,What is the current status of Jonas Richter's legal protection policy?,named_policy_status,crm_only,crm_only,200,202.7854,True,True,True,True,0.0,,0,1,,,,,,,,1.0,True,False,,,False,crm_fact_incomplete_or_incorrect,,TEST-RS-2026-1501:status=Cancelled
