id,question,subcategory,expected_route,actual_route,status_code,latency_ms,evaluable,route_correct,operational_success,answer_present,crm_fact_recall,requirement_recall,document_source_count,crm_source_count,expected_document_source_present,retrieval_expected_file_precision,citation_expected_document_present,citation_expected_file_precision,citation_returned_source_link_precision,citation_claim_coverage_proxy,claim_support_rate,groundedness_score,groundedness_pass,unsafe_final_decision_language,denied_no_data_access,denied_safe_response,overall_pass,errors,missing_requirements,missing_crm_facts
route-crm-010,Which policy number is linked to claim TEST-CLM-2026-2301?,claim_policy_link,crm_only,crm_only,200,461.1785,True,True,True,True,1.0,,0,1,,,,,,,,1.0,True,False,,,True,,,
route-crm-014,What is the current status of Jonas Richter's legal protection policy?,named_policy_status,crm_only,crm_only,200,202.638,True,True,True,True,1.0,,0,2,,,,,,,,0.9928,True,False,,,True,,,
route-crm-015,Which claims are recorded for Leon Becker?,customer_claims,crm_only,crm_only,200,204.5168,True,True,True,True,1.0,,0,3,,,,,,,,0.990914,True,False,,,True,,,
route-crm-018,Show Sophie Keller's policy numbers and their statuses.,customer_policy_summary,crm_only,crm_only,200,207.8272,True,True,True,True,1.0,,0,3,,,,,,,,0.991,True,False,,,True,,,
route-crm-019,Which customer email is associated with policy TEST-KFZ-2026-1901?,policy_customer_link,crm_only,crm_only,200,223.0422,True,True,True,True,1.0,,0,2,,,,,,,,0.991875,True,False,,,True,,,
route-rag-004,What exclusions apply to damage caused by wear and tear on a vehicle?,motor_exclusions,retrieval_only,retrieval_only,200,31288.9254,True,True,True,True,,1.0,5,0,True,0.8,True,1.0,1.0,1.0,0.9166666666666666,0.817079,True,False,,,True,,,
route-rag-005,What information is provided in the motor vehicle insurance product sheet?,motor_product_sheet,retrieval_only,retrieval_only,200,9061.8646,True,True,True,True,,1.0,5,0,True,1.0,True,1.0,1.0,1.0,0.8846153846153846,0.812245,True,False,,,True,,,
route-rag-006,What does household contents insurance cover after water damage?,household_water,retrieval_only,retrieval_only,200,9227.0427,True,True,True,True,,0.0,0,0,False,,False,,,0.0,0.0,0.580116,False,False,,,False,expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,household_water_event;household_contents_damage,
route-rag-007,Are household contents covered against fire under the general conditions?,household_fire,retrieval_only,retrieval_only,200,4742.2744,True,True,True,True,,1.0,5,0,True,1.0,True,1.0,1.0,1.0,1.0,0.798667,True,False,,,True,,,
route-rag-008,What does private liability insurance generally cover?,private_liability,retrieval_only,retrieval_only,200,10653.0486,True,True,True,True,,1.0,5,0,True,0.6,True,1.0,1.0,1.0,0.8888888888888888,0.932825,True,False,,,True,,,
route-rag-011,Under what conditions does buildings insurance cover natural hazards?,building_natural_hazards,retrieval_only,retrieval_only,200,5635.4256,True,True,True,True,,0.5,5,0,True,1.0,True,1.0,1.0,1.0,1.0,0.845326,True,False,,,False,requirement_recall_below_threshold,building_policy_condition,
route-rag-013,What legal disputes are covered by legal protection insurance?,legal_protection_scope,retrieval_only,retrieval_only,200,8293.9104,True,True,True,True,,0.0,5,0,True,0.6,True,1.0,1.0,1.0,1.0,0.881662,True,False,,,False,requirement_recall_below_threshold,legal_scope,
route-rag-014,Which waiting periods or exclusions apply to legal protection cover?,legal_protection_exclusions,retrieval_only,retrieval_only,200,5711.4535,True,True,True,True,,0.0,0,0,False,,False,,,0.0,0.0,0.38,False,False,,,False,expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,legal_waiting_period;legal_specific_exclusions,
route-rag-016,What travel assistance benefits are described in the assistance brochure?,travel_assistance,retrieval_only,retrieval_only,200,4723.7594,True,True,True,True,,0.5,5,0,True,1.0,True,1.0,1.0,1.0,1.0,0.850638,True,False,,,False,requirement_recall_below_threshold,travel_assistance_predeparture,
route-rag-017,What services are summarized in the insurance services brochure?,services_brochure,retrieval_only,retrieval_only,200,8313.4479,True,True,True,True,,0.0,0,0,False,,False,,,0.0,0.0,0.602103,False,False,,,False,expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,services_247;services_claim_payment,
route-rag-019,Which mutual provisions are described for private health insurance?,private_health,retrieval_only,retrieval_only,200,5960.8504,True,True,True,True,,0.0,0,0,False,,False,,,0.0,0.0,0.243312,False,False,,,False,expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,mutual_contract_rules;mutual_claim_rules,
route-rag-020,How do the insurance terms distinguish repair from replacement of a damaged windscreen?,windscreen_repair,retrieval_only,retrieval_only,200,8777.6229,True,True,True,True,,0.0,0,0,False,,False,,,0.0,0.0,0.655845,False,False,,,False,expected_document_citation_missing;expected_document_source_missing;groundedness_failed;requirement_recall_below_threshold,windscreen_repair_replacement;windscreen_repair_process,
route-combined-003,"For Oliver Brandt's current motor policy, is parking collision damage generally covered and what annual premium is stored in CRM?",motor_collision_and_premium,combined,combined,200,8663.687,True,True,True,True,1.0,1.0,5,2,True,0.8,True,1.0,1.0,1.0,0.42857142857142855,0.946338,True,False,,,True,,,
