case_id,split,source_type,mutation_type,high_risk_mutation_proxy,v4_score,v4_accepted_at_0_871795,v5_score,v5_threshold,v5_accepted,applied_caps,unsupported_atomic_facts,citation_mismatches,structured_mismatches,polarity_mismatches,question,candidate_answer,mutation_detail
ext-iqa-fail-071,CALIBRATION,insuranceqa,wrong_percentage,True,0.949067,True,0.38,0.7888,False,"[""unsupported_numeric_fact_cap_0.38""]","[""percent:60""]",[],[],[],How Much Should Health Insurance Cost?,"How much you should be paying is a hard figure to try and quantify . The average cost in the country for a health insurance plan is $ 328 per month - however , this is only reflective upon a silver level plan -LRB- not all 2014 state figure averages are available yet -RRB- . While you can try to come up with an `` average '' cost , there 's too many factors that go into premium pricing to say how in relation that compares to you . In short , an `` average '' premium is a rather useless figure to the individual . It 's only representative to a large group - you could have people paying a small nominal amount -LRB- after factoring in subsidies -RRB- per month to several thousand dollars per month . Even for that there 's a ton of information to sift through to get an accurate representation . Under the Affordable Care Act , you have the options for bronze , silver , gold , and platinum level plans -LRB- as you go up in metal , the price goes up , but provides better benefits -RRB- - some areas also have a catastrophic plan available . In addition , your age is a big factor as well . The younger you are , the cheaper your premium - the older you are , the higher your premium . Also , if you use tobacco products , your premium can be increased up to 60 % as well . You may be able to qualify for a subsidy that can be used to reduce the cost of your health insurance premiums . I always recommend consulting with an experienced broker . We can help you determine the plan that 's going to be most suitable for your needs and budget . Please feel free to contact me for further assistance . Thanks very much .",Changed the documented percentage from 50 to 60.
ext-iqa-fail-075,VALIDATION,insuranceqa,wrong_percentage,True,0.959249,True,0.38,0.7888,False,"[""unsupported_numeric_fact_cap_0.38""]","[""percent:35""]",[],[],[],What Is Extended Coverage Homeowners Insurance?,"Different companies and different states have different nomenclature for coverages . What this typically means is limit that coverage extends to another higher limit in the event of a total loss exceeding the Coverage A -LRB- homeowner Dwelling limit -RRB- . If you have a replacement value of say 400,000 on the house , then the maximum that would normally be paid for replacing the house would be $ 400,000 . But setting the value of replacement is not exact science and is also a moving target . If your home is destroyed by a fire it may be possible to rebuild within that 400,000 limit . But suppose the the city you live in is ripped apart by a tornado . Now there could be escalating costs of material and labor . What the extension does is give you an extension to another limit if needed . The extensions are usually sold in percentage increments such as 35 % ,50 % or even 100 % . So , back to the 400,000 coverage on the house . If 25 % extension then the limit of coverage is increased to a maximum of 500,000 -LRB- 400,000 X 1.25 -RRB- I hope that helps . If you live in one of the following states I would be glad to assist you : AZ , CA , MO , TX and GA. -LRB- call 1.866-933-4372 -RRB- otherwise seek out an Independent agent in your area who represents sever companies . Jack Heller , CPCU",Changed the documented percentage from 25 to 35.
ext-iqa-fail-076,VALIDATION,insuranceqa,wrong_percentage,True,0.935656,True,0.38,0.7888,False,"[""unsupported_numeric_fact_cap_0.38""]","[""percent:20""]",[],[],[],Why Is A 401K Loan A Bad Idea?,"That is a great question ! There are some reasons why taking a loan out of your 401k might not be the best option . Before doing so , please consult your plan administrator and be certain to understand the rules for your particular plan . The first reason is that you may lose the ability to contribute to your fund while your loan is outstanding . Some companies will disallow contributions or matches until the loan is repaid . That can seriously derail your long term growth potential of your plan . Other companies will deduct the loan payments from your check , reducing your flexibility with other payments . The second reason is that you lose your tax sheltered advantage . The interest that you are paying yourself on the loan -LRB- you are both borrower and lender in the transaction -RRB- is considered a taxable income by the IRS , and reduces your returns . It 's also possible that the opportunity cost of having invested that repaid interest could be more than what you 'd make having used it in an investment . The third reason is that if you were to God forbid lose your job , the loan amount is repayable within 60 days . If that is n't done , you are subject to a 20 % penalty on the balance , -LRB- if you 're under 59 1/2 -RRB- and are due for whatever State and Federal taxes apply , as it is no longer considered a loan , but an early withdrawal . An alternative to consider might be a home equity line of credit , if the interest rates and your equity allow . Some things to consider . Again , I 'd advise you to speak with your plan administrator and see exactly what your plan rules are . Thanks for asking !",Changed the documented percentage from 10 to 20.
ext-iqa-fail-078,VALIDATION,insuranceqa,wrong_percentage,True,0.916957,True,0.38,0.7888,False,"[""unsupported_numeric_fact_cap_0.38""]","[""percent:30""]",[],[],[],What Is The Cost Of Medigap Insurance In 2013?,"Medigap rates vary considerably by zip code , age , tobacco use and plan . The older you are the higher your Medicare supplement rate will be . The exception is for those who are under age 65 and on disability and Medicare . In most states rates for under age 65 are astronomical . Many carriers offer competitive rates from age 65 to 74 . Above age 74 some plans -LRB- surprisingly -RRB- become more competitive while others less so . Tobacco use often adds 30 % to the rate but can be more , depending on the carrier . Plan F is the most expensive -LRB- and most popular -RRB- followed by D or G -LRB- depending on your state -RRB- , N then Hi F . You can generally find a site that offers `` instant Medigap quotes '' but keep in mind the most competitive rates are usually not illustrated online . #MedigapPlanFRates #MedicareSupplementPlanFRates #GeorgiaMedigapPlanFRates #GeorgiaMedicareSupplementPlanFRates #GeorgiaMedicarePlans #GaMedigapQuotes",Changed the documented percentage from 20 to 30.
ext-iqa-fail-079,LOCKED_HOLDOUT_CANDIDATE,insuranceqa,wrong_percentage,True,0.887952,True,0.38,0.7888,False,"[""unsupported_numeric_fact_cap_0.38""]","[""percent:50""]",[],[],[],Does Medicare Cover Circumcision?,"Since Medicare covers people over the age of 65 , and those with certain disabilities that have received Social Security benefits for 25 months , it would be very rare for Medicare to cover a circumcision . It would be possible , if someone with Medicare had a true medical need to be circumcisized later in the life , but very rare , as most circumcisions are done at birth . Given the fact that 50 % of births in American are covered by Medicaid , a better question may be `` Does Medicaid cover circumcisions ? '' That varies by state , as 18 states currently do not cover this procedure , primarily due to the fact that it is most often elective , or not necessary . the 18 states that do n't cover circumcisions , along with the year they stopped : Colorado 2011 South Carolina 2011 Louisiana 2005 Idaho 2005 Minnesota 2005 Maine 2004 Montana 2003 Utah 2003 Florida 2003 Missouri 2002 Arizona 2002 North Carolina 2002 California before 1999 North Dakota before 1999 Oregon before 1999 Mississippi before 1999 Nevada before 1999 Washington before 1999",Changed the documented percentage from 40 to 50.
ext-helvetia-fail-001,CALIBRATION,helvetia_pdf,wrong_limit,True,0.965517,True,0.38,0.7888,False,"[""unsupported_numeric_fact_cap_0.38""]","[""money:chf:2000""]",[],[],[],"According to assistance-sti.pdf, what provision is stated in the supplied policy context?","B3 Pets If the pet of the insured person cannot be housed with the planned care person prior to the commencement of the trip due to the care person suffering an accident, illness or death, and if the pet needs to be housed in an animal shelter as a result, Helvetia will pay up to CHF 2ʼ000 per event.",Changed the first documented numeric value from 1 to 2; replacement is traceable to another source excerpt.
ext-helvetia-fail-003,CALIBRATION,helvetia_pdf,wrong_limit,True,1.0,True,0.38,0.7888,False,"[""unsupported_numeric_fact_cap_0.38""]","[""money:chf:24""]",[],[],[],"According to buildings-insurance-sti.pdf, what provision is stated in the supplied policy context?","This exclusion does not apply if the sum insured for the building does not exceed CHF 24 million per building; A21 Costs for replacing locks, for locks which cannot be opened with the keys in question; A22 Damage to land, air and water.",Changed the first documented numeric value from 10 to 24; replacement is traceable to another source excerpt.
ext-helvetia-fail-004,LOCKED_HOLDOUT_CANDIDATE,helvetia_pdf,wrong_limit,True,0.932,True,0.38,0.7888,False,"[""unsupported_numeric_fact_cap_0.38""]","[""money:chf:1100020""]",[],[],[],"According to household-contents-private-liability-sti.pdf, what provision is stated in the supplied policy context?","CHF 11ʼ000 20 % of the insured sum as per A1 (household contents), min.",Changed the first documented numeric value from 10 to 11; replacement is traceable to another source excerpt.
ext-helvetia-fail-005,CALIBRATION,helvetia_pdf,wrong_limit,True,1.0,True,0.38,0.7888,False,"[""unsupported_numeric_fact_cap_0.38""]","[""money:chf:10000""]",[],[],[],"According to legal-protection-sti.pdf, what provision is stated in the supplied policy context?","Personal legal protection Traffic legal protection Unless listed separately in the STI, the policy does not cover claims CHF 10’000 B4 The insured person can immediately consult a lawyer for initial advice.",Changed the first documented numeric value from 1 to 10; replacement is traceable to another source excerpt.
ext-helvetia-fail-008,LOCKED_HOLDOUT_CANDIDATE,helvetia_pdf,wrong_limit,True,1.0,True,0.38,0.7888,False,"[""unsupported_numeric_fact_cap_0.38""]","[""number:100""]",[],[],[],"According to rental-guarantee-insurance-sti.pdf, what provision is stated in the supplied policy context?","If the policyholders do not comply with their payment obligation, the policyholders will be requested in writing policyholders expense to make payment within 100 days.",Changed the first documented numeric value from 14 to 100; replacement is traceable to another source excerpt.
